id	state	city	potencia kwp	nro_paineis	geracao_media	preco
11555	SP	São Paulo	44.16	96	5211	R$166.332,58
11585	SP	São Paulo	45	100	5310	R$167.415,39
11591	SP	São Paulo	45.08	98	5319	R$167.634,84
11656	SP	São Paulo	45.08	98	5319	R$169.179,87
11664	SP	São Paulo	43.7	95	5157	R$169.226,71
11676	SP	São Paulo	46	100	5428	R$170.020,59
11689	SP	São Paulo	50.92	152	6009	R$174.732,01
11704	SP	São Paulo	46.8	104	5522	R$170.941,18
11708	SP	São Paulo	49.5	110	5841	R$171.320,72
11721	SP	São Paulo	46	100	5428	R$171.564,47
11743	SP	São Paulo	48.24	144	5692	R$173.679,46
11749	SP	São Paulo	45.56	136	5376	R$173.664,88
11750	SP	São Paulo	50.25	150	5930	R$174.021,61
11751	SP	São Paulo	51	136	6018	R$174.138,71
11760	SP	São Paulo	52.5	140	6195	R$174.507,93
11786	SP	São Paulo	50.25	134	5930	R$174.036,81
11796	SP	São Paulo	54.27	162	6404	R$178.509,63
11797	SP	São Paulo	48	128	5664	R$174.146,34
11816	SP	São Paulo	52.26	156	6167	R$179.165,58
11824	SP	São Paulo	47.84	104	5645	R$175.261,71
11834	SP	São Carlos	51.3	114	6053	R$175.974,95
11836	SP	São Paulo	46	100	5428	R$175.648,02
11839	SP	São Paulo	48.6	108	5735	R$176.010,85
11890	SP	São Paulo	54	144	6372	R$179.385,33
11891	SP	São Paulo	53.6	160	6325	R$182.400,28
11903	SP	São Paulo	50.92	152	6009	R$183.139,12
11913	SP	São Paulo	48.24	144	5692	R$180.416,91
11915	SP	São Carlos	52.5	140	6195	R$180.810,38
11939	SP	São Paulo	54	144	6372	R$181.498,07
11947	SP	São Paulo	49.68	108	5862	R$180.485,53
11961	SP	São Carlos	50.4	112	5947	R$181.067,46
11970	SP	São Paulo	53.6	160	6325	R$185.524,97
11973	SP	São Paulo	51	136	6018	R$182.536,59
12003	SP	São Paulo	54	120	6372	R$182.729,45
12007	SP	São Paulo	48.3	105	5699	R$182.540,10
12066	SP	São Paulo	57	152	6726	R$189.722,25
12068	SP	São Paulo	51.52	112	6079	R$185.699,64
12077	SP	São Paulo	52.2	116	6160	R$186.114,70
12081	SP	São Paulo	50.92	152	6009	R$190.124,65
12091	SP	São Paulo	56.95	170	6720	R$190.695,31
12099	SP	São Paulo	53.6	160	6325	R$190.806,24
12122	SP	São Paulo	57	152	6726	R$191.834,99
12161	SP	São Paulo	51	136	6018	R$189.620,21
12164	SP	São Paulo	54	144	6372	R$189.905,18
12171	SP	São Paulo	50.6	110	5971	R$188.962,01
12185	SP	São Carlos	56.7	126	6691	R$189.901,65
12187	SP	São Paulo	53.6	160	6325	R$193.832,84
12208	SP	São Paulo	53.36	116	6296	R$190.909,76
12213	SP	São Paulo	54	120	6372	R$191.153,86
12227	SP	São Carlos	56.95	170	6720	R$195.843,88
12250	SP	São Paulo	56.25	150	6638	R$193.658,11
12280	SP	São Paulo	53.6	160	6325	R$198.094,09
12282	SP	São Carlos	60.3	180	7115	R$198.573,78
12283	SP	São Carlos	52.44	114	6188	R$194.162,90
12296	SP	São Paulo	56.95	170	6720	R$199.101,26
12324	SP	São Paulo	56.25	150	6638	R$196.835,88
12335	SP	São Paulo	55.2	120	6514	R$196.119,88
12336	SP	São Paulo	55.8	124	6584	R$196.191,87
12343	SP	São Paulo	54	144	6372	R$197.272,64
12347	SP	São Paulo	59.4	132	7009	R$196.665,38
12371	SP	São Paulo	60	160	7080	R$201.608,24
12398	SP	São Paulo	56.95	170	6720	R$202.838,65
12424	SP	São Paulo	60.3	180	7115	R$204.397,37
12452	SP	São Paulo	57.6	128	6797	R$201.231,04
12458	SP	São Paulo	57.04	124	6731	R$201.330,00
12473	SP	São Paulo	55.2	120	6514	R$201.738,08
12482	SP	São Paulo	60	160	7080	R$206.384,11
12485	SP	São Paulo	63.65	190	7511	R$206.860,73
12490	SP	São Paulo	56.95	170	6720	R$206.708,73
12493	SP	São Paulo	60.3	180	7115	R$206.971,66
12511	SP	São Paulo	51.3	114	6053	R$202.968,62
12527	SP	São Paulo	51.3	114	6053	R$203.492,47
12555	SP	São Paulo	57	152	6726	R$209.144,21
12581	SP	São Paulo	59.4	132	7009	R$206.287,51
12585	SP	São Paulo	58.88	128	6948	R$206.530,89
12592	SP	São Paulo	63.75	170	7523	R$211.030,13
12593	SP	São Paulo	60.75	162	7169	R$210.851,32
12602	SP	São Paulo	60.3	180	7115	R$211.392,14
12624	SP	São Paulo	52.44	114	6188	R$207.673,58
12643	SP	São Paulo	52.44	114	6188	R$208.214,75
12654	SP	São Paulo	63.65	190	7511	R$213.402,03
12669	SP	São Paulo	57.96	126	6839	R$209.784,04
12679	SP	São Paulo	67	200	7906	R$214.738,05
12692	SP	São Paulo	54	120	6372	R$210.301,20
12696	SP	São Paulo	60.3	180	7115	R$214.889,52
12700	SP	São Carlos	63.65	190	7511	R$215.257,45
12702	SP	São Paulo	54	120	6372	R$210.842,37
12703	SP	São Paulo	61.2	136	7222	R$212.323,42
12721	SP	São Paulo	60.72	132	7165	R$211.749,09
12733	SP	São Carlos	63.75	170	7523	R$216.613,71
12749	SP	São Paulo	60	160	7080	R$216.796,65
12817	SP	São Paulo	55.2	120	6514	R$215.267,22
12819	SP	São Carlos	67.5	180	7965	R$220.025,09
12828	SP	São Paulo	64.13	171	7567	R$220.240,92
12830	SP	São Paulo	55.2	120	6514	R$215.799,16
12831	SP	São Paulo	63	140	7434	R$217.361,43
12833	SP	São Paulo	63.65	190	7511	R$220.396,80
12848	SP	São Paulo	62.56	136	7382	R$217.946,73
12865	SP	São Paulo	67	200	7906	R$221.937,06
12890	SP	São Paulo	56.7	126	6691	R$218.094,19
12903	SP	São Paulo	67	200	7906	R$223.126,70
12905	SP	São Paulo	56.7	126	6691	R$218.627,28
12911	SP	São Paulo	63.65	190	7511	R$223.513,40
12938	SP	São Paulo	63	168	7434	R$224.449,08
12961	SP	São Paulo	64.8	144	7646	R$222.409,83
12979	SP	São Paulo	68.34	204	8064	R$226.361,40
12980	SP	São Carlos	64.4	140	7599	R$223.156,85
12983	SP	São Paulo	67.5	180	7965	R$226.380,61
13013	SP	São Paulo	57.96	126	6839	R$223.312,02
13027	SP	São Paulo	57.96	126	6839	R$223.835,88
13028	SP	São Paulo	67.5	180	7965	R$228.421,81
13037	SP	São Carlos	67	200	7906	R$228.931,82
13045	SP	São Paulo	71.25	190	8408	R$229.436,59
13057	SP	São Paulo	59.4	132	7009	R$225.425,62
13070	SP	São Carlos	59.4	132	7009	R$225.976,02
13077	SP	São Paulo	70.35	210	8301	R$230.942,87
13093	SP	São Carlos	66.24	144	7816	R$228.366,97
13100	SP	São Paulo	67	200	7906	R$231.683,81
13104	SP	São Paulo	66.6	148	7859	R$228.771,33
13117	SP	São Paulo	66	176	7788	R$232.101,52
13169	SP	São Paulo	68.34	204	8064	R$235.043,13
13173	SP	São Paulo	60.72	132	7165	R$230.887,20
13187	SP	São Paulo	60.72	132	7165	R$231.428,37
13188	SP	São Paulo	67.5	180	7965	R$235.931,20
13193	SP	São Paulo	71.25	190	8408	R$236.609,06
13200	SP	São Paulo	68.4	152	8071	R$236.777,67
13227	SP	São Paulo	70.35	210	8301	R$237.937,63
13230	SP	São Paulo	68.08	148	8033	R$234.880,97
13239	SP	São Paulo	75	200	8850	R$238.431,55
13256	SP	São Paulo	73.7	220	8697	R$242.464,69
13290	SP	São Paulo	72	192	8496	R$240.667,79
13296	SP	São Paulo	63	140	7434	R$237.823,03
13302	SP	São Paulo	70.2	156	8284	R$241.816,84
13315	SP	São Paulo	67.5	150	7965	R$239.807,64
13323	SP	São Paulo	69.92	152	8251	R$243.059,42
13332	SP	São Paulo	71.25	190	8408	R$243.603,82
13370	SP	São Paulo	71.25	190	8408	R$245.707,33
13380	SP	São Paulo	75	200	8850	R$246.385,18
13381	SP	São Paulo	76.38	228	9013	R$250.481,23
13384	SP	São Paulo	73.7	220	8697	R$249.459,46
13394	SP	São Paulo	64.8	144	7646	R$243.403,36
13395	SP	São Paulo	72	160	8496	R$246.854,85
13399	SP	São Paulo	64.4	140	7599	R$243.609,22
13410	SP	São Paulo	72.36	216	8538	R$250.857,55
13414	SP	São Paulo	71.76	156	8468	R$248.269,54
13430	SP	São Paulo	69	150	8142	R$246.016,60
13441	SP	São Paulo	77.72	232	9171	R$253.990,55
13493	SP	São Paulo	66.24	144	7816	R$249.351,28
13502	SP	São Paulo	75	200	8850	R$253.362,64
13503	SP	São Paulo	73.6	160	8685	R$253.470,43
13525	SP	São Paulo	72	160	8496	R$255.163,87
13544	SP	São Paulo	78.75	210	9293	R$256.596,32
13551	SP	São Paulo	75.6	168	8921	R$256.941,25
13571	SP	São Paulo	76.38	228	9013	R$261.940,33
13581	SP	São Carlos	68.85	153	8124	R$258.056,55
13593	SP	São Paulo	69.3	154	8177	R$258.661,52
13594	SP	São Paulo	75	200	8850	R$259.043,15
13638	SP	São Paulo	73.6	160	8685	R$261.779,46
13662	SP	São Paulo	77.28	168	9119	R$263.890,68
13679	SP	São Carlos	70.38	153	8305	R$264.383,93
13680	SP	São Carlos	78.75	210	9293	R$264.905,35
13684	SP	São Carlos	80.4	240	9487	R$269.310,15
13689	SP	São Carlos	70.84	154	8359	R$265.042,60
13702	SP	São Carlos	79.2	176	9346	R$266.123,02
13704	SP	São Carlos	82.5	220	9735	R$269.340,78
13707	SP	São Carlos	72	160	8496	R$266.011,42
13731	SP	São Paulo	80.4	240	9487	R$272.009,05
13733	SP	São Paulo	76.5	170	9027	R$267.996,02
13752	SP	São Paulo	72.9	162	8602	R$269.298,33
13761	SP	São Paulo	78.75	210	9293	R$270.080,46
13770	SP	São Paulo	72	160	8496	R$270.174,59
13807	SP	São Paulo	73.6	160	8685	R$272.627,00
13815	SP	São Paulo	80.96	176	9553	R$274.309,77
13819	SP	São Paulo	82.5	220	9735	R$277.640,58
13825	SP	São Paulo	82.75	247	9765	R$279.256,37
13826	SP	São Paulo	78.2	170	9228	R$275.025,15
13837	SP	São Paulo	84.42	252	9962	R$279.839,26
13848	SP	São Paulo	74.52	162	8793	R$276.004,01
13853	SP	São Paulo	82.8	184	9770	R$277.114,07
13884	SP	São Paulo	82.5	220	9735	R$282.397,99
13894	SP	São Paulo	81	180	9558	R$280.374,70
13895	SP	São Paulo	84.42	252	9962	R$284.597,83
13899	SP	São Paulo	75.6	168	8921	R$280.269,07
13954	SP	São Paulo	84.64	184	9988	R$284.730,01
13955	SP	São Paulo	86.25	230	10178	R$288.865,77
13967	SP	São Paulo	88.44	264	10436	R$290.378,77
13980	SP	São Paulo	86.4	192	10195	R$287.209,70
13989	SP	São Paulo	82.8	180	9770	R$287.828,91
14027	SP	São Paulo	79.2	176	9346	R$290.347,40
14039	SP	São Paulo	89.11	266	10515	R$296.571,79
14047	SP	São Paulo	85.5	190	10089	R$293.206,84
14070	SP	São Carlos	90.45	270	10673	R$299.931,11
14072	SP	São Paulo	90	240	10620	R$299.946,93
14088	SP	São Paulo	81	180	9558	R$296.699,67
14097	SP	São Paulo	89.25	238	10532	R$302.084,48
14117	SP	São Paulo	93.8	280	11068	R$307.377,46
14127	SP	São Paulo	87.4	190	10313	R$301.066,53
14153	SP	São Carlos	93.8	280	11068	R$311.069,85
14164	SP	São Paulo	95.81	286	11306	R$312.882,03
14165	SP	São Carlos	90	200	10620	R$305.595,91
14182	SP	São Paulo	95.48	285	11267	R$315.604,22
14199	SP	São Carlos	98.49	294	11622	R$317.806,39
14210	SP	São Paulo	94.5	252	11151	R$315.264,51
14239	SP	São Carlos	97.5	260	11505	R$317.830,68
14243	SP	São Paulo	92	200	10856	R$313.869,14
14265	SP	São Paulo	101.84	304	12017	R$323.696,75
14288	SP	São Paulo	94.5	210	11151	R$318.428,05
